"","ID","months_since_last","number_donations","total_volume","months_since_first","made_donation"
"1","664",0,13,3250,28,1
"2","358",1,24,6000,77,0
"3","335",4,4,1000,4,0
"4","47",2,7,1750,14,1
"5","164",1,12,3000,35,0
"6","736",5,46,11500,98,1
"7","436",0,3,750,4,0
"8","460",2,10,2500,28,1
"9","285",1,13,3250,47,0
"10","499",2,6,1500,15,1
"11","356",2,5,1250,11,1
"12","40",2,14,3500,48,1
"13","191",2,15,3750,49,1
"14","345",2,3,750,4,1
"15","372",4,11,2750,28,0
"16","539",2,6,1500,16,1
"17","734",4,14,3500,40,0
"18","482",4,8,2000,21,0
"19","222",4,10,2500,28,1
"20","175",4,10,2500,28,1
"21","606",2,16,4000,64,0
"22","340",2,8,2000,28,1
"23","298",2,12,3000,47,1
"24","459",4,6,1500,16,1
"25","92",4,7,1750,22,1
"26","446",2,13,3250,53,1
"27","336",2,5,1250,16,0
"28","403",2,5,1250,16,1
"29","286",2,5,1250,16,0
"30","665",4,20,5000,69,1
"31","134",4,9,2250,28,1
"32","646",2,9,2250,36,0
"33","471",2,2,500,2,0
"34","712",2,11,2750,46,0
"35","721",2,11,2750,46,1
"36","654",2,6,1500,22,0
"37","740",4,19,4750,69,1
"38","612",4,8,2000,26,1
"39","502",2,7,1750,28,1
"40","444",2,8,2000,35,1
"41","132",4,5,1250,16,1
"42","214",0,2,500,4,0
"43","146",4,7,1750,25,0
"44","607",1,9,2250,51,0
"45","591",2,4,1000,16,0
"46","45",2,2,500,4,0
"47","395",2,2,500,4,1
"48","369",2,2,500,4,1
"49","490",2,4,1000,16,1
"50","66",2,2,500,4,0
"51","448",2,2,500,4,0
"52","380",2,4,1000,16,0
"53","328",2,4,1000,16,0
"54","485",2,4,1000,16,0
"55","630",2,6,1500,28,1
"56","5",2,6,1500,28,0
"57","546",4,2,500,4,0
"58","54",4,2,500,4,0
"59","445",2,7,1750,35,1
"60","510",4,2,500,4,1
"61","311",4,2,500,4,0
"62","476",4,2,500,4,0
"63","474",12,11,2750,23,0
"64","527",3,17,4250,86,0
"65","506",4,9,2250,38,1
"66","424",4,8,2000,34,1
"67","155",4,9,2250,40,0
"68","94",2,5,1250,26,0
"69","719",6,17,4250,70,0
"70","676",0,8,2000,59,0
"71","271",2,3,750,14,0
"72","535",4,9,2250,46,0
"73","653",4,5,1250,23,0
"74","493",4,8,2000,40,1
"75","279",2,12,3000,82,0
"76","564",11,24,6000,64,0
"77","656",2,7,1750,46,1
"78","386",4,11,2750,61,0
"79","182",1,7,1750,57,0
"80","212",2,11,2750,79,1
"81","667",2,3,750,16,1
"82","308",4,5,1250,26,1
"83","421",2,6,1500,41,1
"84","662",2,4,1000,26,0
"85","284",2,5,1250,34,0
"86","731",4,8,2000,46,1
"87","544",4,8,2000,48,1
"88","145",2,2,500,10,1
"89","747",4,5,1250,28,0
"90","35",2,11,2750,88,0
"91","81",2,3,750,19,0
"92","594",2,5,1250,37,0
"93","3",9,5,1250,19,0
"94","687",2,2,500,11,0
"95","29",2,9,2250,74,0
"96","151",4,3,750,16,0
"97","213",4,3,750,16,0
"98","135",4,2,500,9,1
"99","472",6,3,750,14,0
"100","51",2,2,500,11,0
"101","705",2,2,500,11,1
"102","651",2,2,500,11,0
"103","556",2,7,1750,58,1
"104","79",2,1,250,2,1
"105","477",2,1,250,2,0
"106","90",2,1,250,2,0
"107","341",2,1,250,2,0
"108","456",2,1,250,2,0
"109","692",2,1,250,2,0
"110","227",2,1,250,2,0
"111","550",2,1,250,2,1
"112","247",2,1,250,2,1
"113","293",2,1,250,2,1
"114","587",2,1,250,2,0
"115","291",2,1,250,2,0
"116","392",2,1,250,2,0
"117","220",2,1,250,2,0
"118","410",2,1,250,2,0
"119","88",2,1,250,2,0
"120","589",2,1,250,2,0
"121","61",2,1,250,2,0
"122","359",11,10,2500,35,0
"123","671",11,4,1000,16,1
"124","399",4,6,1500,41,1
"125","631",2,3,750,22,0
"126","432",4,4,1000,26,1
"127","565",10,4,1000,16,0
"128","618",2,4,1000,35,0
"129","586",4,12,3000,88,0
"130","59",13,8,2000,26,0
"131","725",4,5,1250,34,0
"132","367",4,5,1250,35,1
"133","605",4,7,1750,52,0
"134","238",2,2,500,14,0
"135","655",2,5,1250,47,1
"136","609",4,6,1500,47,0
"137","113",9,9,2250,45,0
"138","242",4,7,1750,58,0
"139","6",6,2,500,11,1
"140","533",11,9,2250,38,0
"141","19",2,2,500,16,0
"142","553",11,6,1500,27,0
"143","517",11,3,750,14,0
"144","239",4,1,250,4,0
"145","689",4,1,250,4,0
"146","562",4,1,250,4,0
"147","111",4,1,250,4,1
"148","580",4,1,250,4,0
"149","379",4,1,250,4,0
"150","684",4,1,250,4,0
"151","252",4,1,250,4,0
"152","415",4,1,250,4,1
"153","746",4,3,750,24,0
"154","150",4,1,250,4,0
"155","540",4,1,250,4,0
"156","709",10,8,2000,39,0
"157","31",14,7,1750,26,0
"158","615",8,10,2500,63,0
"159","494",4,2,500,14,0
"160","195",2,4,1000,43,0
"161","717",8,9,2250,58,0
"162","62",8,8,2000,52,1
